"","amounts","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","Probability","Each_EV","Sales_up","EV_up"
"1",0,0,0,0,0,0,0,0,0,0,0.00134408602150538,0.000134408602150538,0,0,0
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0
"3",2,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0
"4",3,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0
"5",4,0,0.00134408602150538,0,0,0,0,0,0,0,0,0.000134408602150538,0.000537634408602151,5,0.000672043010752688
"6",5,0.00134408602150538,0,0,0,0,0,0,0,0,0.00134408602150538,0.000268817204301075,0.00134408602150538,6.25,0.00168010752688172
"7",6,0,0,0,0,0.00134408602150538,0.00134408602150538,0.00403225806451613,0.00134408602150538,0.00134408602150538,0,0.000940860215053763,0.00564516129032258,7.5,0.00705645161290323
"8",7,0.00268817204301075,0,0.00403225806451613,0.00268817204301075,0.00268817204301075,0.00403225806451613,0.00403225806451613,0,0.00268817204301075,0.00134408602150538,0.00241935483870968,0.0169354838709677,8.75,0.0211693548387097
"9",8,0.00268817204301075,0.00537634408602151,0.00672043010752688,0.00134408602150538,0.00268817204301075,0.00268817204301075,0.00134408602150538,0.00134408602150538,0.00403225806451613,0.00268817204301075,0.00309139784946237,0.0247311827956989,10,0.0309139784946237
"10",9,0.00806451612903226,0.00940860215053763,0.010752688172043,0.0120967741935484,0.00268817204301075,0.00940860215053763,0.00672043010752688,0.010752688172043,0.0134408602150538,0.010752688172043,0.00940860215053763,0.0846774193548387,11.25,0.105846774193548
"11",10,0.00940860215053763,0.00672043010752688,0.00940860215053763,0.0147849462365591,0.0174731182795699,0.0120967741935484,0.0147849462365591,0.00403225806451613,0.0188172043010753,0.0161290322580645,0.0123655913978495,0.123655913978495,12.5,0.154569892473118
"12",11,0.0268817204301075,0.0255376344086022,0.0349462365591398,0.0228494623655914,0.0228494623655914,0.0228494623655914,0.0161290322580645,0.0268817204301075,0.0147849462365591,0.0255376344086022,0.0239247311827957,0.263172043010753,13.75,0.328965053763441
"13",12,0.021505376344086,0.0282258064516129,0.0255376344086022,0.0309139784946237,0.0376344086021505,0.0389784946236559,0.0349462365591398,0.032258064516129,0.0456989247311828,0.0389784946236559,0.0334677419354839,0.401612903225806,15,0.502016129032258
"14",13,0.0645161290322581,0.0604838709677419,0.0403225806451613,0.0389784946236559,0.0416666666666667,0.0336021505376344,0.0376344086021505,0.0564516129032258,0.0524193548387097,0.0537634408602151,0.0479838709677419,0.623790322580645,16.25,0.779737903225806
"15",14,0.0793010752688172,0.0618279569892473,0.0645161290322581,0.0645161290322581,0.0577956989247312,0.0779569892473118,0.0631720430107527,0.0631720430107527,0.0658602150537634,0.0564516129032258,0.0654569892473118,0.916397849462366,17.5,1.14549731182796
"16",15,0.0793010752688172,0.0833333333333333,0.0685483870967742,0.0645161290322581,0.0846774193548387,0.0900537634408602,0.0913978494623656,0.0645161290322581,0.0873655913978495,0.0806451612903226,0.0794354838709677,1.19153225806452,18.75,1.48941532258065
"17",16,0.104838709677419,0.0954301075268817,0.081989247311828,0.102150537634409,0.0900537634408602,0.0779569892473118,0.0833333333333333,0.0900537634408602,0.0806451612903226,0.0846774193548387,0.0891129032258065,1.4258064516129,20,1.78225806451613
"18",17,0.0793010752688172,0.110215053763441,0.108870967741935,0.118279569892473,0.0900537634408602,0.0981182795698925,0.0967741935483871,0.0994623655913978,0.0900537634408602,0.0940860215053763,0.0985215053763441,1.67486559139785,21.25,2.09358198924731
"19",18,0.100806451612903,0.0954301075268817,0.106182795698925,0.0766129032258065,0.112903225806452,0.0846774193548387,0.0954301075268817,0.092741935483871,0.0967741935483871,0.0913978494623656,0.0952956989247312,1.71532258064516,22.5,2.14415322580645
"20",19,0.0887096774193548,0.111559139784946,0.0779569892473118,0.0591397849462366,0.0658602150537634,0.0793010752688172,0.0981182795698925,0.0954301075268817,0.0873655913978495,0.0846774193548387,0.0848118279569892,1.6114247311828,23.75,2.01428091397849
"21",20,0.0645161290322581,0.0833333333333333,0.0793010752688172,0.0940860215053763,0.0900537634408602,0.071236559139785,0.081989247311828,0.0913978494623656,0.0739247311827957,0.0900537634408602,0.081989247311828,1.63978494623656,25,2.0497311827957
"22",21,0.0779569892473118,0.0537634408602151,0.0672043010752688,0.0685483870967742,0.0672043010752688,0.0739247311827957,0.0645161290322581,0.0631720430107527,0.0577956989247312,0.0456989247311828,0.0639784946236559,1.34354838709677,26.25,1.67943548387097
"23",22,0.0389784946236559,0.0524193548387097,0.0524193548387097,0.0658602150537634,0.0698924731182796,0.0631720430107527,0.0645161290322581,0.0537634408602151,0.0524193548387097,0.0631720430107527,0.0576612903225806,1.26854838709677,27.5,1.58568548387097
"24",23,0.0456989247311828,0.0295698924731183,0.0510752688172043,0.0443548387096774,0.0403225806451613,0.0349462365591398,0.0564516129032258,0.0403225806451613,0.0443548387096774,0.043010752688172,0.043010752688172,0.989247311827957,28.75,1.23655913978495
